item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111841429,Abdala Ossifo Ibraimo,Q1425821,RENAMO,Q622803,Zambezia Province,2020-01-13,,male,Q111841429-5497E1EC-DFD8-4EA2-BDAF-3B852F40F0FE
Q111841432,Abdul Gafur Mamade Hossene Issufo,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,male,Q111841432-A1E63B86-54C3-421C-978E-9A3CF9DB8B48
Q111843320,Abdul Zacarias,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,,Q111843320-F1B94D90-B74A-4A5B-BC28-F38915B5FD09
Q111843321,Abdula Tarmamade Abdula,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843321-4AB0C976-64F8-464B-A287-29B043A4058E
Q111841433,Abiba Aba,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,female,Q111841433-87E2362E-4950-4A82-95A9-FE5B572751FB
Q111843322,Adelino Andissene Silveira,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,,Q111843322-72372488-4540-4C91-98DC-16B13001AFFF
Q111843324,Afonso Januário Bombeni,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,,Q111843324-D7522574-17BE-41D7-9F80-7D1D693BAE9D
Q111841435,Afonso Lopes Nipero,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,male,Q111841435-74D8AC47-60E7-434E-90E7-9758D0830F21
Q111841438,Agostinho Gomes Chipindula,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,male,Q111841438-1CA76714-0295-48C4-9ED0-19E532EF76E1
Q111843325,Agostinho Navanssuane Chelua,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843325-7FB9E439-9C1E-4901-8D87-132952D8EE9F
Q111843326,Agostinho Pinto Mussuluaia Muapilote,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,,Q111843326-6CB2F1D3-AA9C-478B-A64E-1130234D92CE
Q111843327,Agostinho Sairosse Maeni,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843327-B82F3F1C-AE1E-437B-BC80-87891FFCA327
Q111841440,Agostinho Zacarias Vuma,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,male,Q111841440-C7ED1FD3-66F2-4BFB-8445-FFA727AE6811
Q111843328,Aida Maria Soares Gouveia,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843328-31C309B9-490A-4C47-9F86-3728F76DA816
Q357430,Aires Bonifácio Baptista Ali,Q504564,FRELIMO,Q622799,Niassa Province,2020-01-13,,male,Q357430-63BDABB3-4B09-43FE-94ED-14C32227C168
Q111841446,Albano Bulaunde José,Q668181,Democratic Movement of Mozambique,Q622801,Sofala,2020-01-13,,male,Q111841446-43D25073-C4FA-4799-9E97-130C3CA1F5AA
Q111841447,Albertina Ilda Lino,Q1425821,RENAMO,Q466538,Cabo Delgado Province,2020-01-13,,female,Q111841447-79AAC6B3-16BF-4658-A708-46F68FB89447
Q111843329,Alberto Francisco Valoi,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,,Q111843329-618464C2-5155-447C-947A-0995C28C7DD4
Q111843330,Alberto Jacinto Nankuta Matukutuku,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,,Q111843330-41F62E70-739F-41FF-BE38-A7EF2763364F
Q111843331,Alberto José Bacar,Q1425821,RENAMO,Q466538,Cabo Delgado Province,2020-01-13,,,Q111843331-76163489-A31F-49F9-B012-4D7668FF4340
Q111843332,Alberto João Ferreira,Q1425821,RENAMO,Q622792,Manica Province,2020-01-13,,,Q111843332-7BAE29F1-9626-4846-ADAE-A1C76C3F7AB1
Q111841451,Alberto Jumulate,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,male,Q111841451-6273154B-3835-4C0E-850C-E610C292D596
Q111843333,Alberto Lives Andela Niquice,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,,Q111843333-B18B922E-1460-4668-AF6A-3C99C8B31AF8
Q111843334,Alexandre Tiago,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,,Q111843334-B33374E5-92F8-4C74-B99E-C7981758261A
Q111841455,Alfredo Tomás Magumisse,Q1425821,RENAMO,Q622792,Manica Province,2020-01-13,,male,Q111841455-1FF9F265-252B-466F-9E27-10B161462AFB
Q111843335,Alice Ana Francisco Xavier Kufa,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843335-1A0F78B6-D87E-480F-8447-F5A1F2FA6C1D
Q111843336,Almina Manuel Monteiro Mauride,Q504564,FRELIMO,Q622799,Niassa Province,2020-01-13,,,Q111843336-0FC5C0F6-B702-47F0-920F-22BFB292F4E1
Q111843337,Alsácia João Chochoma Sartinha,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843337-E9A643F6-583C-44D0-B70F-C23190FF8E28
Q111841458,Alves Jordão Zita…,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,male,Q111841458-BD11EA94-193E-44D8-B254-0582A7B32EC7
Q111841459,Amílcar José Hussein,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,male,Q111841459-4AF7432E-F638-4A25-BB40-D01921F48B5C
Q111841462,Ana Antónia Henrique Dimitri,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,female,Q111841462-3FB6AC52-8898-465E-9DB0-F65E6DE1FBAE
Q111843338,Ana Armando Chapo,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,,Q111843338-D05D986A-8C61-4D20-AB98-52B3D5E9FEF4
Q111843340,Ana Maria Simante,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,,Q111843340-D7B2B96C-06A6-4E50-81CD-DEC7C5A9D812
Q111843339,Ana Maria de Lourdes Massengele,Q504564,FRELIMO,Q622799,Niassa Province,2020-01-13,,,Q111843339-2CF5C427-EBCF-4DBE-9A90-DA80916E8336
Q111841465,Ana Rita Geremias Sithole,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,female,Q111841465-511AFF05-C23B-4475-B5D3-C1361F1EBC40
Q111841466,André Joaquim Magibire,Q1425821,RENAMO,Q622801,Sofala,2020-01-13,,male,Q111841466-68F169A6-A2BD-411B-B7C8-04D9BD4F2E30
Q111841469,António Augusto Eduardo Namburete,Q1425821,RENAMO,Q3889,Maputo,2020-01-13,,male,Q111841469-92C761B9-C980-4ABF-8A60-76D53FA239BC
Q111843342,António Eusébio Mulima,Q1425821,RENAMO,Q622792,Manica Province,2020-01-13,,,Q111843342-B8EC30B2-8279-446A-8EBB-60F265466A24
Q111843343,António Joaquim Mainato,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,,Q111843343-FFB37A70-04C5-4D94-A3A7-292369C64224
Q111841470,António José Amélia,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,male,Q111841470-64CC03C1-93D5-46D8-800C-9811D7900CB5
Q111841471,António Pedro Muchanga,Q1425821,RENAMO,Q379658,Maputo Province,2020-01-13,,male,Q111841471-3B32DCCA-7C4A-49E1-A05E-44C2DD4E3B5E
Q111841472,António Rosário Niquice,Q504564,FRELIMO,Q3889,Maputo,2020-01-13,,male,Q111841472-C02DA90D-A15B-4EF7-96C7-8AECF00C880B
Q111843341,António do Rosário Bernardino Boene,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843341-02C344B7-02C0-4BC0-BC25-185915FE2005
Q111843344,Arlinda Cipriano de Sousa,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843344-F7109709-23AB-499A-AC60-B2038162C6D2
Q111843345,Arlindo Arrido Maquival,Q1425821,RENAMO,Q622803,Zambezia Province,2020-01-13,,,Q111843345-04E2424B-FFCD-4C0F-A5DA-F1453281E473
Q111843346,Arlindo Daniel Bila,Q1425821,RENAMO,Q3889,Maputo,2020-01-13,,,Q111843346-419E2214-4458-4651-98FB-7D524F02C57E
Q111843347,Arnaldo Francisco Chalaua,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,,Q111843347-46E140F1-2B06-4939-91E8-FBEF6B00235E
Q111841683,Assia Paulo Cipriano Abudo Ali,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,female,Q111841683-A4ADF714-B054-4336-805A-A8F06A5F7C11
Q111841476,Atanásio Gomes Kulyaukila,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,male,Q111841476-657CD6E0-5165-4967-A9C3-B0616F9C42B0
Q111843348,Atanásio Quirino Machude,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,,Q111843348-F2980DDB-8DA2-49B9-B054-8E0C3B38D663
Q111843349,Aureliana Otília Filipe Jamisse,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,,Q111843349-33569DDC-460A-4A46-B5AD-4E5E197083F7
Q111843350,Balbina Deolinda Raibo Mateus,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,,Q111843350-84F4E227-96C8-49A2-B062-8854F2339CB2
Q111843351,Bonito Novunga,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,,Q111843351-D1B01B26-736C-45C2-82AD-77C8B3FC33AF
Q111843352,Brígida Anita Jorge Mathavele,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,,Q111843352-AA9E580A-C934-4BEC-B37B-31D7629FB640
Q111841481,Caifadine Paulo Manasse,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,male,Q111841481-CF333D83-693E-4A8E-B10A-B7B480D841D9
Q111843353,Carimo Fretas de Oliveira,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843353-66D6EF2C-A773-4899-8A53-26706D5B461B
Q19057400,Carlos Agostinho do Rosário,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,male,Q19057400-35EA5C13-E829-48C7-A41F-8837CB3357A3
Q111841483,Carlos Manuel,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,male,Q111841483-9A9AA0E7-38F2-4E53-8631-BF85C2F4C157
Q111841485,Carlos Moreira Vasco,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,male,Q111841485-18AACB91-211F-4408-9318-96E4E5016851
Q111841486,Carlos Samussone Maiela,Q1425821,RENAMO,Q466547,Inhambane Province,2020-01-13,,male,Q111841486-59096423-8A49-4F4E-96A1-FDBF311675A2
Q111841487,Carlos Sebastião,Q504564,FRELIMO,Q622799,Niassa Province,2020-01-13,,male,Q111841487-CA16FD69-CAB0-4FE8-9C10-F38680DD8BB1
Q111843354,Carlos Sebastião Chissingue,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,,Q111843354-E587500D-550A-4BBD-8EBE-5C549BEEA74A
Q19816448,Carmelita Rita Namashulua,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,female,Q19816448-8BFF5B4C-BFFE-400D-BDDB-BB24D707B72B
Q111843355,Carminda da Graça Barata,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,,Q111843355-0DA8827E-AFB1-43BF-92E5-C1FA1124D4CE
Q111843356,Carvalho Pensado António,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,,Q111843356-C19BD705-1A99-4F29-9246-86F6840CDA52
Q111841489,Catarina Olinda Salomão,Q1425821,RENAMO,Q605787,Tete Province,2020-01-13,,female,Q111841489-4C6C8BF4-AE38-472E-AF90-6BCFC96491EE
Q111843357,Catarinha Mário Dimande,Q504564,FRELIMO,Q3889,Maputo,2020-01-13,,,Q111843357-68136AF2-979A-45E4-A5AA-2BD3D7C2F811
Q111843358,Cernilde Amélia Muchanga de Mendonça,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,,Q111843358-812D5A2D-5E88-4720-9509-436E40470058
Q111841492,Chrispen Matches,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,male,Q111841492-23F23709-D224-456C-AA30-1F8768328E39
Q111843359,Clarice da Esperança Milato,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843359-8D9CC311-1A28-4CEF-A7D1-196AC3820EC6
Q111843360,Clementina Francisco Bomba,Q1425821,RENAMO,Q379658,Maputo Province,2020-01-13,,,Q111843360-A7F568F2-D7BF-45C7-B4B6-216467A0C6F2
Q111828621,Conceita Ernesto Xavier Sortane,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,female,Q111828621-9069C0CD-F357-4576-94C2-529CEDB34368
Q111841493,Costa Francisco Chale,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,male,Q111841493-7213C672-CF1D-4521-9EE2-4821D4672D09
Q111843361,Cristina Chelene Manhice Sevene,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,,Q111843361-EB3CA049-F214-4E7C-9D17-0F660707DE98
